Group ,ZL,ZW,ZFLL
0,0.859666009,0.293756149,0.62597168
0,-0.025567617,0.328217298,0.525135246
0,0.548204555,0.457121972,-0.044783567
0,0.888662242,0.3475901,-0.492004724
0,-0.035397764,0.886680551,0.639952901
0,-0.197888933,0.028680883,-1.084428676
0,0.317781675,0.254730057,0.604727253
0,-0.316707651,-0.311184618,-0.423021367
0,-0.639459509,-0.187681889,0.091355004
0,-0.22936275,-0.552788131,0.319265786
0,0.175226814,-0.027668536,0.463824662
0,0.35817741,-0.404044661,0.23508986
0,0.510177306,0.205366066,0.264367264
0,0.365391966,-0.656918058,-0.115698679
0,0.090250399,0.41697839,-0.738867973
0,-0.131911688,0.230140813,0.330234641
0,0.347301026,-0.314817577,-0.054955526
0,0.571170474,0.582393688,0.462897029
0,0.333533038,-0.352911684,-0.179481323
0,-0.680625467,-0.07638103,0.200764721
0,0.051176914,-0.030184004,-0.004640921
0,-0.90606427,0.385403718,0.225922023
0,-1.053603208,-0.241703576,-0.215170788
0,-0.166524214,0.103005126,0.25702757
0,-0.55340795,-0.426398925,-0.478307218
0,0.124753827,-0.218605064,-0.14371537
0,0.663637459,0.171741919,-0.471354851
0,0.02088734,0.557804445,0.704428829
0,-0.869468369,0.14063324,0.620252902
0,-0.348813685,-0.228757458,0.119781263
0,-0.521796126,-0.203516717,0.493074942
0,-0.449926574,0.869262241,0.336619578
0,-0.751695888,-0.207801173,0.938648058
0,0.431645224,0.196516666,-0.263580761
0,0.55544802,-0.898802059,-0.048570589
0,0.893152109,-0.27113602,-0.277305391
0,-0.927955045,-0.519724961,1.171039145
0,0.977743413,0.589564621,-0.103469112
0,-1.150117132,-0.085881926,0.627565472
0,-0.191168586,0.427967785,-0.634866195
0,1.786922541,0.288910716,-0.545385943
0,0.386403419,-0.130961462,0.357656778
0,0.568830896,0.280341805,0.388762324
0,0.112308089,-0.139530373,0.474766393
0,0.251586233,-0.741955672,-0.66908772
0,0.377619508,0.71418484,0.920339509
0,0.514144055,0.593383084,0.261584364
0,0.637946851,-0.100318776,-0.779064867
0,-0.350245033,-0.195879792,-0.28188931
0,0.54129492,-0.489548268,0.208513984
0,0.167132936,0.265904956,0.108785284
0,-0.219750799,-0.829413769,0.151787319
0,1.216703099,-0.530343348,0.310070825
0,-1.091877561,0.298131125,-0.241179234
0,0.233495293,-0.00736598,-0.922259418
0,-0.253978214,-0.637174248,1.021432534
0,-0.97410508,0.625143259,0.01271287
0,-0.64964586,-0.503985117,0.444561356
0,-0.621448759,-0.259680632,0.172824519
0,0.644776295,-0.088397395,-0.356924523
0,-0.598758853,-0.403022156,0.475666902
0,0.149041996,-0.030930486,1.063970752
0,0.293304218,-1.758199706,0.104201366
0,-0.390364754,-1.057512418,1.079523525
0,0.656451811,0.398628093,0.579051886
0,-0.3803966,-0.057754709,0.923068161
0,0.034684237,-1.200853942,-0.552725637
0,-0.912065675,-0.354124158,0.508600591
0,-1.092785791,0.127499385,1.247411561
0,-0.12833005,0.974229169,-0.50789546
0,-0.680458552,-0.059338192,0.295418561
0,-1.539340445,-0.168870064,0.359921613
0,-0.386426913,-0.460955058,-0.091599748
0,-1.237571131,-1.026869733,0.316919579
0,-0.195738643,0.349264102,0.711714274
0,1.649696774,-0.508735566,-1.120172389
0,-0.234427017,-0.417459005,-0.449340653
0,1.356780375,0.739611085,-1.198400071
0,-1.276782623,0.217192462,-0.820806189
0,-1.390617264,0.103376134,-0.482738158
0,-1.563599705,0.292914683,0.428080949
0,1.577896226,-0.053936246,-1.623116088
0,0.631146314,-0.85018455,0.758372593
0,0.367542256,0.631196702,-0.056837916
0,-0.950616042,-0.128540978,0.058443556
0,-1.253431592,1.136477502,0.492120184
0,-0.428253996,0.650569504,-0.639657339
0,0.386432328,-0.430778365,-0.710108635
